No.	Time	Source	Destination	Protocol	Length	Info
127	3.523035	fe80::3ac9:86ff:fe4b:ecca	ff02::fb	MDNS	294	"Standard query response 0x0000 SRV, cache flush 0 0 8770 coding-06.local TXT, cache flush PTR _airdrop._tcp.local PTR f7feed68f087._airdrop._tcp.local AAAA, cache flush fe80::3ac9:86ff:fe4b:ecca A, cache flush 144.38.27.43 NSEC, cache flush coding-06.local NSEC, cache flush f7feed68f087._airdrop._tcp.local"
128	3.674986	144.38.26.50	224.0.0.251	MDNS	274	"Standard query response 0x0000 SRV, cache flush 0 0 8770 coding-12.local TXT, cache flush PTR _airdrop._tcp.local PTR 50b589de448d._airdrop._tcp.local AAAA, cache flush fe80::3ac9:86ff:fe2b:ffcb A, cache flush 144.38.26.50 NSEC, cache flush coding-12.local NSEC, cache flush 50b589de448d._airdrop._tcp.local"
129	3.674987	fe80::3ac9:86ff:fe2b:ffcb	ff02::fb	MDNS	294	"Standard query response 0x0000 SRV, cache flush 0 0 8770 coding-12.local TXT, cache flush PTR _airdrop._tcp.local PTR 50b589de448d._airdrop._tcp.local AAAA, cache flush fe80::3ac9:86ff:fe2b:ffcb A, cache flush 144.38.26.50 NSEC, cache flush coding-12.local NSEC, cache flush 50b589de448d._airdrop._tcp.local"
130	3.742407	144.38.26.47	209.222.29.34	TLSv1.2	115	Application Data
131	3.787777	209.222.29.34	144.38.26.47	TLSv1.2	111	Application Data
132	3.803488	144.38.26.38	239.255.255.250	SSDP	216	M-SEARCH * HTTP/1.1 
133	3.80456	144.38.27.55	144.38.27.255	UDP	305	54915 > 54915 Len=263
134	3.812559	144.38.26.47	209.222.29.34	TCP	54	50622 > 443 [ACK] Seq=62 Ack=58 Win=258 Len=0
135	3.855752	144.38.27.40	224.0.0.251	MDNS	274	"Standard query response 0x0000 SRV, cache flush 0 0 8770 coding-05.local TXT, cache flush PTR _airdrop._tcp.local PTR d246b987a3b9._airdrop._tcp.local AAAA, cache flush fe80::3ac9:86ff:fe37:40fb A, cache flush 144.38.27.40 NSEC, cache flush coding-05.local NSEC, cache flush d246b987a3b9._airdrop._tcp.local"
136	3.855753	fe80::3ac9:86ff:fe37:40fb	ff02::fb	MDNS	294	"Standard query response 0x0000 SRV, cache flush 0 0 8770 coding-05.local TXT, cache flush PTR _airdrop._tcp.local PTR d246b987a3b9._airdrop._tcp.local AAAA, cache flush fe80::3ac9:86ff:fe37:40fb A, cache flush 144.38.27.40 NSEC, cache flush coding-05.local NSEC, cache flush d246b987a3b9._airdrop._tcp.local"
137	3.937753	144.38.26.57	239.255.255.250	SSDP	216	M-SEARCH * HTTP/1.1 
